seller_id,join_date,seller_name,city,rating
63,2025-09-06,Seller 63,Lahore,4.0
64,2024-06-14,Seller 64,Lahore,3.9
65,2024-08-18,Seller 65,Lahore,4.1
66,2024-05-31,Seller 66,Islamabad,5.0
67,2025-11-30,Seller 67,Multan,4.4
68,2023-06-03,Seller 68,Multan,4.3
69,2025-02-18,Seller 69,Karachi,5.0
70,2024-02-06,Seller 70,Lahore,4.3
71,2024-12-22,Seller 71,Multan,3.4
72,2023-03-12,Seller 72,Karachi,3.1
73,2023-12-05,Seller 73,Faisalabad,4.5
74,2025-07-06,Seller 74,Islamabad,4.2
75,2025-07-15,Seller 75,Lahore,4.5
76,2024-01-26,Seller 76,Islamabad,3.4
77,2024-01-22,Seller 77,Islamabad,4.7
78,2024-07-28,Seller 78,Lahore,4.8
79,2024-05-08,Seller 79,Faisalabad,4.9
80,2024-12-21,Seller 80,Lahore,3.9
81,2025-01-12,Seller 81,Islamabad,3.4
82,2024-05-27,Seller 82,Lahore,4.9
83,2023-01-30,Seller 83,Faisalabad,3.6
84,2023-01-27,Seller 84,Islamabad,3.1
85,2023-06-10,Seller 85,Islamabad,3.6
86,2025-09-22,Seller 86,Lahore,3.4
87,2025-04-06,Seller 87,Faisalabad,4.9
88,2024-05-17,Seller 88,Karachi,5.0
89,2023-07-28,Seller 89,Islamabad,4.3
90,2025-02-23,Seller 90,Karachi,4.9
91,2023-05-22,Seller 91,Karachi,4.3
92,2024-06-18,Seller 92,Multan,3.5
93,2025-09-04,Seller 93,Faisalabad,3.0
94,2025-06-25,Seller 94,Faisalabad,5.0
95,2023-03-24,Seller 95,Multan,4.7
96,2023-12-23,Seller 96,Multan,4.2
97,2024-04-12,Seller 97,Islamabad,4.9
98,2024-04-21,Seller 98,Karachi,3.7
99,2023-11-29,Seller 99,Lahore,3.9
100,2023-11-26,Seller 100,Islamabad,4.1
101,2024-01-09,Seller 101,Karachi,4.4
102,2023-02-23,Seller 102,Lahore,3.9
103,2023-07-13,Seller 103,Faisalabad,3.9
104,2025-05-25,Seller 104,Islamabad,4.7
105,2024-10-11,Seller 105,Islamabad,3.7
106,2024-05-05,Seller 106,Islamabad,5.0
107,2025-08-11,Seller 107,Faisalabad,3.1
108,2024-02-05,Seller 108,Faisalabad,4.7
109,2025-01-04,Seller 109,Karachi,3.3
110,2025-05-26,Seller 110,Karachi,4.8
111,2024-08-10,Seller 111,Islamabad,4.9
112,2025-07-07,Seller 112,Karachi,3.0
113,2025-02-08,Seller 113,Lahore,3.0
114,2025-06-25,Seller 114,Faisalabad,3.2
115,2023-06-10,Seller 115,Islamabad,4.9
116,2025-02-08,Seller 116,Faisalabad,4.2
117,2023-04-17,Seller 117,Faisalabad,4.2
118,2023-03-22,Seller 118,Lahore,3.7
119,2023-09-28,Seller 119,Faisalabad,3.8
120,2024-11-03,Seller 120,Faisalabad,4.9
121,2024-09-22,Seller 121,Multan,4.1
122,2025-03-09,Seller 122,Multan,3.9
123,2025-08-31,Seller 123,Karachi,4.1
124,2025-06-27,Seller 124,Lahore,4.5
125,2024-11-30,Seller 125,Faisalabad,4.1
126,2024-11-09,Seller 126,Lahore,3.6
127,2023-09-06,Seller 127,Islamabad,4.6
128,2023-09-23,Seller 128,Karachi,3.9
129,2025-04-09,Seller 129,Islamabad,3.1
130,2025-03-01,Seller 130,Islamabad,3.0
131,2023-03-14,Seller 131,Multan,4.2
132,2023-04-30,Seller 132,Faisalabad,4.5
133,2024-12-22,Seller 133,Multan,4.6
134,2025-04-04,Seller 134,Multan,5.0
135,2023-09-12,Seller 135,Lahore,3.7
136,2024-10-10,Seller 136,Multan,3.5
137,2024-10-22,Seller 137,Faisalabad,3.4
138,2024-05-08,Seller 138,Multan,3.8
139,2025-11-08,Seller 139,Karachi,4.8
140,2025-09-07,Seller 140,Multan,3.2
141,2023-06-09,Seller 141,Islamabad,3.4
142,2024-09-07,Seller 142,Karachi,4.1
143,2024-12-05,Seller 143,Karachi,3.9
144,2023-07-11,Seller 144,Faisalabad,4.3
145,2023-03-13,Seller 145,Karachi,3.2
146,2024-02-05,Seller 146,Islamabad,3.7
147,2024-08-12,Seller 147,Faisalabad,4.6
148,2024-11-13,Seller 148,Faisalabad,3.8
149,2023-08-30,Seller 149,Multan,3.8
150,2023-04-16,Seller 150,Faisalabad,3.0
151,2023-09-24,Seller 151,Faisalabad,3.5
152,2024-04-07,Seller 152,Multan,4.7
153,2024-08-02,Seller 153,Faisalabad,3.4
154,2024-06-11,Seller 154,Faisalabad,3.7
155,2024-11-18,Seller 155,Multan,4.2
156,2024-10-18,Seller 156,Karachi,4.6
157,2024-05-30,Seller 157,Islamabad,3.3
158,2023-01-17,Seller 158,Karachi,4.4
159,2025-09-05,Seller 159,Lahore,4.2
160,2023-04-29,Seller 160,Lahore,4.8
161,2025-04-17,Seller 161,Islamabad,3.7
162,2024-06-03,Seller 162,Karachi,3.3
163,2023-04-02,Seller 163,Faisalabad,4.8
164,2024-08-09,Seller 164,Lahore,3.6
165,2023-01-31,Seller 165,Faisalabad,3.2
166,2024-09-29,Seller 166,Faisalabad,4.9
167,2025-10-18,Seller 167,Karachi,4.1
168,2024-04-10,Seller 168,Faisalabad,3.1
169,2023-12-31,Seller 169,Islamabad,3.9
170,2025-04-14,Seller 170,Karachi,4.9
171,2024-07-03,Seller 171,Karachi,3.2
172,2025-03-17,Seller 172,Islamabad,4.3
173,2024-03-02,Seller 173,Faisalabad,4.8
174,2024-01-12,Seller 174,Multan,3.9
175,2025-01-20,Seller 175,Karachi,3.6
176,2025-09-01,Seller 176,Lahore,3.4
177,2023-05-16,Seller 177,Karachi,3.2
178,2023-08-28,Seller 178,Islamabad,3.4
179,2023-03-09,Seller 179,Multan,3.1
180,2023-02-19,Seller 180,Multan,4.5
181,2024-07-18,Seller 181,Islamabad,4.5
182,2023-04-17,Seller 182,Karachi,4.1
183,2025-09-02,Seller 183,Lahore,4.1
184,2024-02-19,Seller 184,Multan,4.0
185,2025-10-07,Seller 185,Lahore,3.7
186,2022-12-12,Seller 186,Lahore,3.3
187,2024-01-13,Seller 187,Karachi,4.4
188,2025-03-21,Seller 188,Faisalabad,3.1
189,2024-02-22,Seller 189,Islamabad,4.3
190,2024-02-13,Seller 190,Karachi,4.1
191,2023-04-30,Seller 191,Faisalabad,3.8
192,2024-02-10,Seller 192,Faisalabad,4.7
193,2025-11-26,Seller 193,Lahore,4.9
194,2024-03-22,Seller 194,Multan,3.2
195,2023-08-06,Seller 195,Multan,3.6
196,2024-05-26,Seller 196,Faisalabad,3.3
197,2023-10-21,Seller 197,Lahore,4.6
198,2025-06-18,Seller 198,Multan,3.5
199,2025-03-19,Seller 199,Faisalabad,5.0
200,2023-12-04,Seller 200,Faisalabad,3.7
201,2024-08-29,Seller 201,Faisalabad,4.4
202,2023-09-21,Seller 202,Lahore,4.4
203,2024-11-10,Seller 203,Multan,3.1
204,2024-10-18,Seller 204,Lahore,4.6
205,2023-10-31,Seller 205,Karachi,3.1
206,2025-01-08,Seller 206,Islamabad,4.7
207,2023-03-07,Seller 207,Karachi,3.4
208,2024-07-07,Seller 208,Lahore,3.1
209,2023-03-01,Seller 209,Karachi,3.2
210,2024-03-20,Seller 210,Lahore,4.7
211,2023-06-10,Seller 211,Multan,4.7
212,2024-01-02,Seller 212,Islamabad,3.1
213,2022-12-25,Seller 213,Lahore,4.6
214,2023-11-05,Seller 214,Islamabad,4.4
215,2025-06-07,Seller 215,Karachi,4.9
216,2024-10-08,Seller 216,Islamabad,3.2
217,2023-11-24,Seller 217,Karachi,3.1
218,2025-01-19,Seller 218,Karachi,3.5
219,2025-03-19,Seller 219,Faisalabad,4.5
220,2023-07-01,Seller 220,Karachi,3.2
221,2024-05-10,Seller 221,Karachi,3.6
222,2025-11-05,Seller 222,Islamabad,4.5
223,2024-06-24,Seller 223,Multan,4.2
224,2023-09-21,Seller 224,Islamabad,4.5
225,2023-05-22,Seller 225,Multan,4.2
226,2025-08-04,Seller 226,Lahore,4.2
227,2024-02-21,Seller 227,Faisalabad,3.8
228,2023-10-04,Seller 228,Lahore,4.3
229,2023-05-15,Seller 229,Multan,4.8
230,2024-05-01,Seller 230,Multan,3.3
231,2025-10-12,Seller 231,Islamabad,3.8
232,2023-05-25,Seller 232,Karachi,4.2
233,2023-09-07,Seller 233,Faisalabad,4.5
234,2025-08-09,Seller 234,Faisalabad,3.2
235,2024-07-17,Seller 235,Multan,3.7
236,2024-03-09,Seller 236,Karachi,3.4
237,2024-01-04,Seller 237,Faisalabad,4.8
238,2024-04-05,Seller 238,Multan,4.4
239,2025-05-21,Seller 239,Faisalabad,5.0
240,2024-08-23,Seller 240,Lahore,4.6
241,2025-05-09,Seller 241,Karachi,3.5
242,2024-05-04,Seller 242,Lahore,3.7
243,2024-10-22,Seller 243,Islamabad,4.7
244,2024-11-18,Seller 244,Karachi,4.5
245,2023-11-03,Seller 245,Multan,4.8
246,2024-04-05,Seller 246,Lahore,4.7
247,2024-03-09,Seller 247,Karachi,4.8
248,2024-05-13,Seller 248,Islamabad,3.2
249,2025-09-07,Seller 249,Lahore,4.2
250,2023-11-21,Seller 250,Karachi,4.5
251,2023-04-15,Seller 251,Multan,5.0
252,2025-08-28,Seller 252,Karachi,3.6
253,2024-11-26,Seller 253,Faisalabad,5.0
254,2024-12-25,Seller 254,Faisalabad,4.4
255,2023-03-13,Seller 255,Karachi,4.8
256,2024-06-03,Seller 256,Islamabad,3.9
257,2024-02-28,Seller 257,Karachi,4.2
258,2023-04-04,Seller 258,Islamabad,3.2
259,2023-09-02,Seller 259,Islamabad,3.0
260,2023-12-13,Seller 260,Karachi,3.0
261,2024-11-28,Seller 261,Islamabad,3.7
262,2023-05-19,Seller 262,Karachi,5.0
263,2024-02-01,Seller 263,Islamabad,4.9
264,2023-04-21,Seller 264,Lahore,3.8
265,2023-06-27,Seller 265,Islamabad,4.0
266,2024-04-27,Seller 266,Multan,4.0
267,2025-06-10,Seller 267,Lahore,4.4
268,2024-06-16,Seller 268,Lahore,3.5
269,2024-05-26,Seller 269,Lahore,5.0
270,2025-03-13,Seller 270,Karachi,4.7
271,2025-09-18,Seller 271,Faisalabad,3.7
272,2022-12-13,Seller 272,Lahore,4.4
273,2025-09-02,Seller 273,Karachi,4.2
274,2025-06-29,Seller 274,Faisalabad,3.9
275,2025-01-12,Seller 275,Lahore,5.0
276,2024-05-04,Seller 276,Islamabad,3.4
277,2023-04-03,Seller 277,Karachi,4.0
278,2024-10-08,Seller 278,Faisalabad,4.1
279,2024-01-23,Seller 279,Lahore,4.6
280,2024-02-15,Seller 280,Karachi,4.4
281,2025-11-13,Seller 281,Karachi,4.5
282,2025-03-10,Seller 282,Multan,3.3
283,2024-08-26,Seller 283,Lahore,4.5
284,2024-07-24,Seller 284,Lahore,4.3
285,2023-09-16,Seller 285,Multan,5.0
286,2023-03-23,Seller 286,Islamabad,3.6
287,2025-05-20,Seller 287,Faisalabad,3.6
288,2023-01-26,Seller 288,Karachi,4.9
289,2024-09-22,Seller 289,Karachi,3.8
290,2023-09-01,Seller 290,Multan,3.9
291,2023-06-04,Seller 291,Lahore,3.9
292,2024-02-24,Seller 292,Karachi,3.1
293,2023-09-01,Seller 293,Lahore,4.1
294,2025-02-16,Seller 294,Lahore,4.9
295,2023-05-16,Seller 295,Islamabad,3.5
296,2025-05-13,Seller 296,Karachi,3.8
297,2023-06-27,Seller 297,Multan,3.4
298,2025-04-18,Seller 298,Lahore,3.7
299,2025-07-16,Seller 299,Lahore,4.2
300,2025-04-18,Seller 300,Karachi,4.9
301,2024-08-31,Seller 301,Multan,4.1
302,2024-11-14,Seller 302,Faisalabad,3.8
303,2025-07-08,Seller 303,Islamabad,3.1
304,2025-05-24,Seller 304,Faisalabad,4.9
305,2024-03-11,Seller 305,Islamabad,3.5
306,2025-02-17,Seller 306,Multan,3.7
307,2024-09-28,Seller 307,Faisalabad,3.5
308,2023-01-28,Seller 308,Karachi,4.3
309,2024-05-28,Seller 309,Multan,3.1
310,2024-05-25,Seller 310,Faisalabad,4.8
311,2023-03-31,Seller 311,Karachi,4.7
312,2025-09-02,Seller 312,Lahore,4.7
313,2024-11-19,Seller 313,Karachi,3.0
314,2025-06-20,Seller 314,Multan,4.3
315,2025-01-20,Seller 315,Islamabad,3.8
316,2024-12-29,Seller 316,Karachi,3.1
317,2024-02-06,Seller 317,Karachi,4.9
318,2024-03-27,Seller 318,Multan,5.0
319,2023-07-23,Seller 319,Multan,3.5
320,2025-09-25,Seller 320,Lahore,4.1
321,2025-11-08,Seller 321,Multan,3.0
322,2022-12-31,Seller 322,Multan,4.8
323,2023-01-23,Seller 323,Karachi,3.5
324,2025-08-05,Seller 324,Multan,3.3
325,2024-07-14,Seller 325,Multan,4.8
326,2024-05-07,Seller 326,Multan,4.3
327,2023-05-01,Seller 327,Faisalabad,4.0
328,2024-04-01,Seller 328,Multan,4.0
329,2024-02-27,Seller 329,Multan,4.2
330,2022-12-10,Seller 330,Lahore,4.0
331,2024-04-04,Seller 331,Faisalabad,3.6
332,2023-05-24,Seller 332,Islamabad,4.1
333,2024-05-10,Seller 333,Islamabad,4.6
334,2024-12-10,Seller 334,Lahore,3.8
335,2025-07-30,Seller 335,Multan,3.6
336,2024-06-07,Seller 336,Multan,3.9
337,2023-03-18,Seller 337,Lahore,4.1
338,2025-10-10,Seller 338,Lahore,4.0
339,2024-12-07,Seller 339,Islamabad,3.8
340,2025-10-20,Seller 340,Faisalabad,4.8
341,2023-03-13,Seller 341,Multan,4.6
342,2024-05-11,Seller 342,Multan,4.7
343,2025-07-07,Seller 343,Islamabad,3.5
344,2023-10-15,Seller 344,Faisalabad,3.8
345,2024-04-10,Seller 345,Lahore,4.4
346,2024-10-21,Seller 346,Multan,4.7
347,2025-04-20,Seller 347,Lahore,3.3
348,2025-03-24,Seller 348,Multan,4.7
349,2023-03-29,Seller 349,Islamabad,3.2
350,2024-12-09,Seller 350,Karachi,4.5
351,2025-11-04,Seller 351,Karachi,3.2
352,2023-06-04,Seller 352,Lahore,3.4
353,2023-07-13,Seller 353,Karachi,4.8
354,2023-03-31,Seller 354,Islamabad,4.3
355,2023-10-05,Seller 355,Faisalabad,3.4
356,2025-03-30,Seller 356,Karachi,4.1
357,2024-05-07,Seller 357,Faisalabad,4.7
358,2023-07-26,Seller 358,Karachi,3.5
359,2023-05-08,Seller 359,Islamabad,3.9
360,2022-12-07,Seller 360,Faisalabad,4.9
361,2024-07-05,Seller 361,Islamabad,3.5
362,2023-12-15,Seller 362,Karachi,4.1
363,2024-12-27,Seller 363,Multan,4.0
364,2025-05-25,Seller 364,Islamabad,4.6
365,2025-03-17,Seller 365,Karachi,4.5
366,2023-12-28,Seller 366,Faisalabad,3.5
367,2025-11-14,Seller 367,Faisalabad,4.7
368,2023-11-03,Seller 368,Lahore,3.8
369,2023-02-08,Seller 369,Islamabad,4.0
370,2025-09-08,Seller 370,Karachi,3.1
371,2023-12-03,Seller 371,Faisalabad,4.1
372,2024-06-17,Seller 372,Islamabad,4.0
373,2024-05-19,Seller 373,Karachi,3.7
374,2025-04-19,Seller 374,Multan,4.9
375,2024-08-07,Seller 375,Lahore,3.3
376,2024-05-29,Seller 376,Islamabad,3.5
377,2024-08-05,Seller 377,Karachi,3.5
378,2023-06-14,Seller 378,Karachi,3.1
379,2025-02-22,Seller 379,Faisalabad,3.3
380,2025-07-28,Seller 380,Lahore,3.7
381,2023-02-22,Seller 381,Karachi,4.2
382,2024-05-30,Seller 382,Faisalabad,4.8
383,2023-01-13,Seller 383,Multan,4.8
384,2025-04-06,Seller 384,Faisalabad,5.0
385,2023-08-05,Seller 385,Karachi,4.0
386,2025-03-31,Seller 386,Islamabad,4.1
387,2025-02-28,Seller 387,Islamabad,4.5
388,2025-06-13,Seller 388,Multan,4.7
389,2025-07-02,Seller 389,Karachi,3.1
390,2023-10-08,Seller 390,Islamabad,4.3
391,2023-04-13,Seller 391,Multan,4.9
392,2025-11-17,Seller 392,Islamabad,4.0
393,2023-03-10,Seller 393,Lahore,3.5
394,2023-09-30,Seller 394,Multan,3.7
395,2024-04-12,Seller 395,Faisalabad,3.4
396,2024-06-27,Seller 396,Karachi,5.0
397,2025-09-04,Seller 397,Karachi,3.1
398,2023-04-11,Seller 398,Multan,3.4
399,2023-02-12,Seller 399,Faisalabad,4.0
400,2025-04-14,Seller 400,Lahore,3.4
401,2025-04-24,Seller 401,Islamabad,4.2
402,2023-07-17,Seller 402,Islamabad,4.1
403,2025-09-07,Seller 403,Lahore,3.9
404,2024-03-17,Seller 404,Lahore,3.3
405,2024-06-23,Seller 405,Karachi,4.2
406,2024-09-25,Seller 406,Multan,4.3
407,2023-08-22,Seller 407,Multan,3.3
408,2024-12-02,Seller 408,Lahore,3.8
409,2023-01-13,Seller 409,Lahore,4.1
410,2024-10-25,Seller 410,Karachi,4.3
411,2023-03-10,Seller 411,Lahore,4.5
412,2023-08-06,Seller 412,Faisalabad,3.8
413,2024-04-29,Seller 413,Lahore,3.7
414,2023-04-12,Seller 414,Lahore,3.4
415,2025-06-03,Seller 415,Lahore,4.8
416,2025-03-05,Seller 416,Lahore,4.0
417,2025-08-23,Seller 417,Karachi,4.8
418,2023-10-05,Seller 418,Lahore,3.1
419,2024-01-13,Seller 419,Islamabad,4.0
420,2023-05-04,Seller 420,Faisalabad,3.5
421,2024-04-24,Seller 421,Lahore,4.0
422,2023-07-14,Seller 422,Multan,3.1
423,2024-03-03,Seller 423,Lahore,4.4
424,2024-04-07,Seller 424,Karachi,3.3
425,2024-09-24,Seller 425,Islamabad,3.7
426,2025-03-23,Seller 426,Faisalabad,4.8
427,2025-10-07,Seller 427,Faisalabad,4.9
428,2023-08-04,Seller 428,Lahore,4.7
429,2024-12-20,Seller 429,Multan,3.9
430,2024-06-10,Seller 430,Islamabad,4.4
431,2023-03-25,Seller 431,Lahore,3.8
432,2024-10-20,Seller 432,Islamabad,3.2
433,2024-11-13,Seller 433,Karachi,3.5
434,2023-10-16,Seller 434,Faisalabad,4.6
435,2025-10-19,Seller 435,Multan,4.2
436,2024-04-14,Seller 436,Lahore,3.8
437,2023-02-21,Seller 437,Multan,3.4
438,2025-04-13,Seller 438,Multan,4.9
439,2023-02-18,Seller 439,Karachi,3.6
440,2023-10-03,Seller 440,Lahore,3.5
441,2025-07-09,Seller 441,Faisalabad,4.1
442,2023-04-11,Seller 442,Karachi,3.4
443,2023-07-21,Seller 443,Karachi,3.1
444,2024-02-13,Seller 444,Multan,3.4
445,2024-12-29,Seller 445,Karachi,3.1
446,2024-02-09,Seller 446,Lahore,4.8
447,2024-11-24,Seller 447,Islamabad,3.4
448,2023-11-09,Seller 448,Faisalabad,3.6
449,2024-03-27,Seller 449,Multan,3.9
450,2023-10-18,Seller 450,Karachi,3.8
451,2024-11-16,Seller 451,Islamabad,3.5
452,2024-09-29,Seller 452,Islamabad,3.5
453,2023-04-24,Seller 453,Karachi,4.6
454,2024-05-23,Seller 454,Lahore,3.2
455,2025-09-11,Seller 455,Lahore,4.9
456,2024-01-05,Seller 456,Multan,3.6
457,2023-07-15,Seller 457,Multan,4.3
458,2023-09-17,Seller 458,Lahore,3.9
459,2024-02-23,Seller 459,Lahore,4.6
460,2023-08-12,Seller 460,Lahore,4.2
461,2023-03-13,Seller 461,Faisalabad,4.2
462,2025-10-14,Seller 462,Faisalabad,3.3
463,2024-12-30,Seller 463,Lahore,4.5
464,2023-10-04,Seller 464,Multan,3.9
465,2024-01-29,Seller 465,Multan,3.3
466,2023-05-21,Seller 466,Lahore,4.0
467,2024-09-25,Seller 467,Lahore,4.1
468,2024-02-25,Seller 468,Karachi,3.8
469,2025-09-21,Seller 469,Islamabad,4.1
470,2023-02-02,Seller 470,Multan,4.2
471,2024-03-02,Seller 471,Faisalabad,3.7
472,2023-05-31,Seller 472,Islamabad,5.0
473,2025-01-04,Seller 473,Multan,4.6
474,2024-04-08,Seller 474,Multan,3.7
475,2023-03-04,Seller 475,Faisalabad,3.8
476,2025-07-19,Seller 476,Faisalabad,3.8
477,2024-09-14,Seller 477,Lahore,3.6
478,2025-04-13,Seller 478,Karachi,4.8
479,2025-10-18,Seller 479,Faisalabad,4.2
480,2023-08-12,Seller 480,Faisalabad,3.1
481,2025-01-13,Seller 481,Islamabad,4.5
482,2023-01-29,Seller 482,Multan,4.1
483,2023-03-21,Seller 483,Karachi,3.9
484,2024-11-22,Seller 484,Faisalabad,4.2
485,2023-02-14,Seller 485,Islamabad,4.3
486,2025-01-20,Seller 486,Karachi,3.8
487,2024-08-21,Seller 487,Lahore,3.1
488,2023-07-24,Seller 488,Faisalabad,4.9
489,2024-02-01,Seller 489,Karachi,3.8
490,2024-02-10,Seller 490,Islamabad,3.4
491,2023-03-12,Seller 491,Islamabad,4.5
492,2023-09-17,Seller 492,Islamabad,4.7
493,2025-10-10,Seller 493,Multan,4.9
494,2023-08-03,Seller 494,Multan,4.8
495,2024-05-07,Seller 495,Faisalabad,3.1
496,2023-08-20,Seller 496,Karachi,3.9
497,2025-02-12,Seller 497,Karachi,3.9
498,2023-12-02,Seller 498,Karachi,3.9
499,2023-09-24,Seller 499,Faisalabad,4.9
500,2024-03-02,Seller 500,Islamabad,3.3
501,2025-07-13,Seller 501,Karachi,4.4
502,2023-06-30,Seller 502,Multan,4.7
503,2024-10-17,Seller 503,Multan,3.2
504,2025-06-13,Seller 504,Multan,4.4
505,2024-12-09,Seller 505,Karachi,3.7
506,2025-11-01,Seller 506,Lahore,4.3
507,2023-05-02,Seller 507,Multan,3.7
508,2024-06-18,Seller 508,Karachi,5.0
509,2024-06-20,Seller 509,Multan,3.1
510,2025-03-26,Seller 510,Multan,3.1
511,2023-09-18,Seller 511,Multan,3.6
512,2025-05-28,Seller 512,Faisalabad,4.5
513,2025-05-27,Seller 513,Lahore,3.0
514,2024-06-17,Seller 514,Faisalabad,4.7
515,2025-06-02,Seller 515,Faisalabad,3.1
516,2023-08-19,Seller 516,Islamabad,4.1
517,2024-08-15,Seller 517,Faisalabad,4.2
518,2025-02-05,Seller 518,Karachi,3.0
519,2025-05-02,Seller 519,Karachi,4.1
520,2025-10-11,Seller 520,Karachi,3.1
521,2024-07-31,Seller 521,Karachi,3.1
522,2024-04-27,Seller 522,Multan,3.1
523,2024-01-28,Seller 523,Multan,3.1
524,2023-06-30,Seller 524,Karachi,4.2
525,2023-12-31,Seller 525,Lahore,4.2
526,2024-08-04,Seller 526,Faisalabad,4.7
527,2024-08-17,Seller 527,Islamabad,3.8
528,2023-08-05,Seller 528,Islamabad,4.6
529,2024-10-25,Seller 529,Faisalabad,4.9
530,2024-09-04,Seller 530,Faisalabad,3.8
531,2025-07-05,Seller 531,Lahore,4.7
532,2024-03-03,Seller 532,Multan,4.7
533,2023-07-15,Seller 533,Multan,3.9
534,2025-02-08,Seller 534,Lahore,5.0
535,2024-02-14,Seller 535,Faisalabad,4.9
536,2025-06-19,Seller 536,Islamabad,3.8
537,2024-09-10,Seller 537,Lahore,4.8
538,2025-05-16,Seller 538,Multan,5.0
539,2023-06-21,Seller 539,Karachi,3.1
540,2024-08-06,Seller 540,Faisalabad,4.6
541,2023-05-21,Seller 541,Islamabad,3.4
542,2025-10-21,Seller 542,Faisalabad,4.4
543,2023-09-04,Seller 543,Multan,4.4
544,2025-04-20,Seller 544,Lahore,4.4
545,2023-02-14,Seller 545,Lahore,3.9
546,2025-04-24,Seller 546,Lahore,5.0
547,2023-09-07,Seller 547,Faisalabad,3.0
548,2024-03-22,Seller 548,Lahore,3.4
549,2025-04-28,Seller 549,Lahore,4.6
550,2024-09-05,Seller 550,Karachi,3.5
551,2024-08-23,Seller 551,Islamabad,4.4
552,2023-07-10,Seller 552,Islamabad,4.5
553,2024-11-12,Seller 553,Karachi,3.6
554,2023-09-09,Seller 554,Multan,4.9
555,2022-12-17,Seller 555,Islamabad,3.9
556,2025-06-19,Seller 556,Multan,4.9
557,2023-04-07,Seller 557,Multan,4.4
558,2025-07-02,Seller 558,Faisalabad,4.4
559,2023-09-30,Seller 559,Faisalabad,3.7
560,2025-03-23,Seller 560,Islamabad,4.7
561,2024-12-21,Seller 561,Lahore,3.6
562,2023-01-02,Seller 562,Islamabad,4.6
563,2024-10-15,Seller 563,Multan,3.2
564,2023-06-09,Seller 564,Multan,4.5
565,2025-10-30,Seller 565,Islamabad,4.6
566,2024-04-02,Seller 566,Multan,3.1
567,2024-12-14,Seller 567,Multan,3.5
568,2023-08-02,Seller 568,Multan,3.2
569,2025-08-06,Seller 569,Karachi,3.6
570,2025-06-14,Seller 570,Lahore,4.8
571,2023-08-28,Seller 571,Faisalabad,3.1
572,2024-04-30,Seller 572,Karachi,5.0
