payment_id,payment_date,order_id,amount,payment_method,payment_status
92,2023-03-22,13033,5294.15,Wallet,Refunded
93,2025-03-01,18024,3317.39,Bank Transfer,Refunded
94,2023-01-09,2971,9055.06,Bank Transfer,Failed
95,2024-01-09,11744,7597.07,Bank Transfer,Failed
96,2023-05-01,7426,8762.33,Card,Failed
97,2023-04-04,5468,1725.7,COD,Failed
98,2023-06-21,14614,970.68,Bank Transfer,Failed
99,2025-08-29,14564,229.34,Wallet,Failed
100,2025-06-03,14225,7928.75,COD,Refunded
101,2022-12-29,10003,9159.67,COD,Failed
102,2023-01-22,19090,5328.05,COD,Success
103,2025-03-21,18324,408.36,Bank Transfer,Success
104,2024-07-17,12466,5778.47,Wallet,Refunded
105,2024-10-27,6251,5826.07,Wallet,Success
106,2023-09-09,2189,4834.53,COD,Success
107,2023-06-06,19073,7449.98,Card,Success
108,2024-10-22,11047,1121.15,Card,Success
109,2023-01-17,13066,6959.57,COD,Success
110,2024-03-08,4083,6618.23,Card,Failed
111,2023-04-29,2761,1694.49,COD,Refunded
112,2023-11-14,12274,263.98,Wallet,Failed
113,2025-06-01,13022,1917.28,Bank Transfer,Success
114,2025-10-30,10108,7773.87,COD,Refunded
115,2024-06-06,16454,2511.36,Bank Transfer,Refunded
116,2023-05-03,15115,6940.48,Wallet,Refunded
117,2024-11-28,12553,1678.6,Card,Success
118,2024-08-16,10770,3683.12,Wallet,Refunded
119,2025-08-06,1003,5461.32,Wallet,Refunded
120,2022-12-26,9466,7966.4,Bank Transfer,Failed
121,2024-11-01,2628,901.96,Bank Transfer,Success
122,2025-05-25,19066,1279.88,Bank Transfer,Refunded
123,2024-04-30,4667,6914.3,Card,Refunded
124,2025-02-15,12103,5434.52,Card,Failed
125,2025-03-08,19676,3664.33,COD,Success
126,2024-01-22,11198,7591.28,Card,Failed
127,2024-03-11,15431,6477.7,Wallet,Success
128,2023-12-20,2514,5974.86,Card,Success
129,2024-02-03,15408,8749.64,Card,Refunded
130,2024-11-04,4242,181.36,Bank Transfer,Refunded
131,2023-03-10,14820,9475.56,Bank Transfer,Success
132,2024-01-29,12546,5407.68,Wallet,Success
133,2024-06-12,19677,7508.86,COD,Failed
134,2023-09-06,15281,2234.31,COD,Refunded
135,2023-11-21,15593,2810.02,Wallet,Success
136,2023-01-23,5255,2171.11,Card,Refunded
137,2024-04-27,1458,6124.74,Card,Refunded
138,2023-09-29,14311,1539.36,COD,Failed
139,2024-09-03,19447,6292.36,Bank Transfer,Refunded
140,2025-07-06,8963,9875.41,Card,Success
141,2023-02-28,340,258.07,Card,Failed
142,2023-06-05,3233,8606.05,Wallet,Refunded
143,2023-03-13,13166,2339.1,Card,Failed
144,2025-01-12,12237,400.86,Wallet,Refunded
145,2023-05-29,5584,9549.98,Wallet,Refunded
146,2024-01-23,9422,9489.64,Card,Success
147,2023-08-02,15526,3650.35,Bank Transfer,Success
148,2023-06-11,6183,8107.7,Wallet,Refunded
149,2025-03-03,5854,9134.55,Card,Success
150,2024-02-05,19718,5168.59,Wallet,Refunded
151,2025-04-08,924,5510.35,Bank Transfer,Success
152,2023-04-08,13965,14.33,Wallet,Success
153,2025-04-15,3237,4932.8,Bank Transfer,Failed
154,2025-04-18,9502,596.38,COD,Failed
155,2023-04-19,1817,3785.41,Card,Refunded
156,2025-05-26,9506,2555.27,COD,Failed
157,2023-08-08,17699,5984.65,Wallet,Failed
158,2023-09-02,18564,5018.94,Bank Transfer,Success
159,2023-08-18,17160,1252.12,Card,Success
160,2023-03-04,111,6147.9,COD,Success
161,2024-02-25,12004,3997.95,Card,Success
162,2024-04-16,12001,7764.7,COD,Success
163,2024-04-07,12539,2847.08,COD,Refunded
164,2024-09-03,14387,1293.85,COD,Refunded
165,2025-01-04,3693,9142.24,Wallet,Success
166,2023-10-31,11086,3933.43,Bank Transfer,Failed
167,2025-06-14,9584,3905.28,COD,Failed
168,2024-08-07,7223,510.51,COD,Failed
169,2023-03-26,13405,4436.26,Bank Transfer,Success
170,2024-07-22,752,562.68,Bank Transfer,Refunded
171,2025-05-13,1462,6442.5,COD,Success
172,2025-10-25,19172,9810.86,Card,Refunded
173,2025-04-16,10737,6391.83,Wallet,Refunded
174,2023-05-22,7868,5413.98,Wallet,Refunded
175,2025-07-12,17309,1420.96,Wallet,Failed
176,2025-03-30,5373,7777.53,COD,Success
177,2025-06-29,3998,7774.59,COD,Success
178,2024-08-20,2902,2376.02,Bank Transfer,Success
179,2023-01-06,5933,9166.69,Wallet,Success
180,2024-07-30,15352,8760.19,Bank Transfer,Failed
181,2023-07-31,15949,8513.06,Wallet,Failed
182,2025-08-25,9053,9943.69,Bank Transfer,Success
183,2023-05-30,10091,2423.84,COD,Success
184,2023-11-19,19170,908.52,COD,Success
185,2023-03-31,17637,1976.83,Card,Failed
186,2024-10-26,18329,8171.31,Wallet,Success
187,2023-12-25,15838,8889.94,Card,Failed
188,2025-01-19,7679,7816.29,Card,Failed
189,2023-02-28,18650,2068.98,Card,Success
190,2025-11-15,10874,6126.26,Bank Transfer,Success
191,2022-12-28,14406,5054.87,Wallet,Refunded
192,2025-02-16,3906,8787.85,Wallet,Failed
193,2023-10-08,8809,6833.55,Bank Transfer,Failed
194,2025-08-07,1442,6108.42,Wallet,Failed
195,2025-05-28,1851,7134.73,Wallet,Refunded
196,2025-04-18,10726,2292.7,COD,Success
197,2024-01-30,8353,4664.35,Bank Transfer,Refunded
198,2024-05-14,4746,7298.89,COD,Refunded
199,2024-05-13,14814,8964.96,Bank Transfer,Refunded
200,2025-09-06,7394,710.99,Wallet,Failed
201,2024-11-26,4668,8853.41,COD,Success
202,2025-05-24,6082,4964.98,Bank Transfer,Success
203,2025-02-25,11194,3718.62,COD,Failed
204,2024-10-09,18146,5097.25,COD,Failed
205,2024-11-09,19473,2129.1,Card,Refunded
206,2023-12-04,174,3062.27,Wallet,Failed
207,2023-02-15,18914,5786.28,Bank Transfer,Failed
208,2024-08-01,3736,1530.26,Bank Transfer,Failed
209,2023-02-11,5568,1050.91,COD,Refunded
210,2025-05-05,19785,1543.47,COD,Success
211,2023-10-10,9988,5037.76,Card,Success
212,2025-08-21,15208,9966.05,COD,Refunded
213,2023-05-04,10562,5972.72,Bank Transfer,Failed
214,2024-08-22,2656,9320.37,Card,Refunded
215,2023-03-08,7183,8601.6,Wallet,Refunded
216,2023-07-13,15111,6074.06,Bank Transfer,Success
217,2024-08-21,17514,8613.59,Card,Success
218,2025-10-10,18086,1951.64,COD,Success
219,2024-06-03,2708,8978.52,Bank Transfer,Refunded
220,2023-05-05,14235,5775.63,COD,Refunded
221,2024-12-10,3353,2159.7,Bank Transfer,Failed
222,2025-11-11,15326,9952.51,COD,Failed
223,2025-02-25,2476,2958.78,COD,Success
224,2025-02-09,10614,2963.29,Wallet,Refunded
225,2023-10-05,13650,5893.09,COD,Failed
226,2023-07-05,15813,3911.34,Card,Success
227,2025-02-01,8960,3670.73,Bank Transfer,Success
228,2023-10-11,4945,3199.51,COD,Refunded
229,2023-11-04,3048,8087.71,Bank Transfer,Success
230,2024-06-11,3419,1787.79,Card,Refunded
231,2024-11-05,13751,2634.34,COD,Refunded
232,2024-01-15,7025,4077.7,Wallet,Failed
233,2022-12-17,2715,1557.49,Card,Failed
234,2023-09-10,7201,6456.33,Card,Success
235,2024-12-05,3649,422.76,Card,Failed
236,2024-06-26,13731,5924.95,Bank Transfer,Failed
237,2025-01-13,7206,7658.21,Card,Success
238,2024-01-11,724,9187.25,Bank Transfer,Failed
239,2024-12-12,12676,6739.38,Bank Transfer,Failed
240,2022-12-23,11798,6283.85,Wallet,Failed
241,2023-10-07,11669,5385.0,Wallet,Refunded
242,2023-03-23,3755,6476.65,Wallet,Failed
243,2023-06-28,4719,1130.29,Bank Transfer,Success
244,2024-07-05,14450,7903.87,COD,Success
245,2025-06-13,6510,7346.02,Card,Failed
246,2023-08-02,19047,8206.39,Wallet,Failed
247,2024-04-24,5769,5065.63,Card,Success
248,2025-10-10,19030,1848.26,Wallet,Failed
249,2025-06-13,8070,3698.32,Card,Failed
250,2024-09-03,5102,105.55,COD,Failed
251,2023-12-23,5659,980.62,COD,Refunded
252,2024-05-20,16797,4992.94,Bank Transfer,Failed
253,2023-04-10,14601,1970.07,COD,Success
254,2024-08-13,16512,4029.76,Bank Transfer,Refunded
255,2024-09-20,12501,1517.41,Card,Success
256,2024-01-24,13117,3458.59,Bank Transfer,Success
257,2023-11-13,11928,89.15,Card,Failed
258,2025-05-05,8705,4547.62,Bank Transfer,Failed
259,2025-10-08,15769,8738.93,COD,Failed
260,2024-07-27,4406,4840.42,Card,Refunded
261,2025-06-11,10983,4609.31,Wallet,Success
262,2024-09-30,7054,6508.99,Wallet,Refunded
263,2023-09-17,1853,2028.99,Card,Failed
264,2024-09-02,13447,8530.74,Bank Transfer,Success
265,2023-10-10,1176,149.43,COD,Refunded
266,2025-02-28,2512,3891.71,Wallet,Refunded
267,2023-02-20,2239,8209.51,COD,Refunded
268,2025-05-11,12074,1664.83,Card,Failed
269,2024-06-18,9851,696.51,COD,Refunded
270,2024-08-19,6892,8689.46,Card,Refunded
271,2023-09-24,2057,4955.91,COD,Failed
272,2023-06-05,13896,2282.49,Wallet,Refunded
273,2024-03-18,8474,7640.67,Card,Failed
274,2024-09-22,17453,879.72,Card,Success
275,2023-10-22,9933,1884.49,Wallet,Failed
276,2023-07-03,11241,8001.3,COD,Success
277,2023-06-10,925,5936.96,Bank Transfer,Refunded
278,2023-09-03,6249,4155.7,Bank Transfer,Refunded
279,2023-01-16,8593,8254.25,Card,Refunded
280,2025-11-23,15532,2183.45,Card,Refunded
281,2024-06-22,17717,9044.01,Bank Transfer,Failed
282,2025-03-27,12301,2600.13,COD,Success
283,2023-07-05,486,1079.46,Card,Refunded
284,2023-03-05,488,3329.21,Wallet,Success
285,2025-10-22,10548,2453.01,COD,Refunded
286,2024-12-18,15314,4106.73,Card,Failed
287,2025-07-03,7456,8769.57,Wallet,Success
288,2024-05-13,7082,3385.59,Bank Transfer,Failed
289,2024-09-16,336,9429.36,Wallet,Success
290,2023-01-09,476,2254.56,Card,Success
291,2025-10-17,14158,5104.94,Wallet,Refunded
292,2024-01-15,9359,92.22,Card,Failed
293,2023-01-16,1156,8995.2,Bank Transfer,Refunded
294,2024-03-11,3336,4201.53,Card,Refunded
295,2024-01-09,19305,5388.45,COD,Success
296,2024-10-14,2135,4382.82,Card,Success
297,2023-08-22,15954,119.22,Wallet,Refunded
298,2023-07-10,16486,7997.71,Wallet,Failed
299,2024-07-28,15040,7013.9,COD,Success
300,2024-10-06,15732,886.09,Wallet,Refunded
301,2024-06-05,3608,6866.32,Wallet,Refunded
302,2025-07-20,5966,3604.58,Wallet,Success
303,2025-05-03,8981,5152.79,Bank Transfer,Refunded
304,2024-10-12,10621,3472.69,Bank Transfer,Failed
305,2024-09-15,8923,5646.57,Bank Transfer,Success
306,2023-11-10,13565,8634.77,COD,Refunded
307,2023-08-17,16028,551.99,Wallet,Refunded
308,2024-10-26,16097,6133.03,COD,Success
309,2023-12-27,4170,7070.09,COD,Success
310,2024-05-20,249,4550.94,Wallet,Failed
311,2025-02-17,17308,5656.48,Card,Success
312,2023-03-28,19927,175.78,COD,Refunded
313,2024-06-30,3565,1516.56,Wallet,Success
314,2023-07-27,12430,7306.51,Card,Failed
315,2023-08-14,14017,3030.56,Card,Success
316,2023-01-24,11933,475.44,Card,Failed
317,2024-05-14,18637,8467.42,COD,Refunded
318,2025-06-13,10747,2544.82,Card,Failed
319,2023-11-17,2439,7258.05,Wallet,Refunded
320,2025-11-07,4176,976.42,COD,Failed
321,2024-07-23,12126,4875.65,Wallet,Success
322,2023-07-26,12199,6455.9,COD,Failed
323,2025-01-06,4884,5961.58,Wallet,Success
324,2024-01-25,7201,9904.19,COD,Failed
325,2023-03-20,15355,4306.71,Wallet,Success
326,2024-09-01,6113,1395.01,Bank Transfer,Success
327,2025-03-02,9319,902.87,Bank Transfer,Refunded
328,2024-03-03,16470,9933.5,Wallet,Refunded
329,2024-06-22,1459,7760.24,Card,Success
330,2025-03-06,3121,1135.47,Card,Success
331,2024-11-09,6064,3264.94,Card,Success
332,2023-11-09,13375,5422.06,Card,Refunded
333,2023-11-17,17426,3311.55,Card,Refunded
334,2024-07-14,7367,4337.5,COD,Success
335,2024-05-07,6425,152.54,COD,Refunded
336,2023-06-15,10083,4256.62,Bank Transfer,Refunded
337,2022-12-28,15228,8118.75,Card,Failed
338,2024-05-14,12890,3027.57,Bank Transfer,Success
339,2025-07-17,8097,32.6,Wallet,Failed
340,2024-12-19,16070,8331.87,COD,Refunded
341,2024-07-21,10179,4203.11,Card,Failed
342,2024-05-09,4922,1566.95,Bank Transfer,Success
343,2023-02-20,3652,2104.87,COD,Success
344,2025-01-30,1917,9172.18,Card,Success
345,2025-11-21,2896,526.52,Wallet,Refunded
346,2024-04-21,7155,1667.43,Card,Success
347,2023-01-25,19489,2718.14,COD,Success
348,2025-04-26,2791,6640.39,Card,Success
349,2025-04-21,3581,5702.79,COD,Success
350,2023-02-13,752,4397.75,Card,Success
351,2024-05-12,8513,57.33,Card,Failed
352,2023-11-01,12946,2275.26,Card,Failed
353,2023-01-08,7817,4594.99,Card,Success
354,2024-08-28,5380,9241.24,Bank Transfer,Refunded
355,2024-06-04,4476,338.39,COD,Success
356,2024-02-23,1275,3045.64,Bank Transfer,Failed
357,2023-07-09,14495,2587.73,COD,Success
358,2024-04-21,16392,5084.17,COD,Success
359,2023-09-26,6711,2632.34,Wallet,Refunded
360,2022-12-11,5066,6528.86,Card,Refunded
361,2025-03-12,4776,1546.68,COD,Refunded
362,2024-10-10,16958,1378.56,Card,Success
363,2025-07-10,16104,1630.42,Wallet,Success
364,2022-12-14,19833,8301.53,Bank Transfer,Failed
365,2025-11-23,4766,3350.25,Card,Failed
366,2024-02-03,17078,2624.6,Card,Success
367,2023-09-05,17861,9204.38,COD,Refunded
368,2025-06-12,13129,2573.18,Card,Failed
369,2024-07-21,1250,160.11,Card,Failed
370,2024-07-21,2808,9411.27,Wallet,Refunded
371,2024-02-13,2404,1402.57,Bank Transfer,Success
372,2024-11-12,16850,2702.69,COD,Refunded
373,2024-01-19,4105,8683.08,Card,Success
374,2025-02-08,9328,4239.52,Bank Transfer,Failed
375,2023-02-06,13449,9950.67,COD,Refunded
376,2023-05-20,17150,1023.66,Wallet,Success
377,2024-01-17,5407,7692.46,Card,Success
378,2023-02-14,534,3799.38,Wallet,Refunded
379,2025-10-14,10009,9654.38,Wallet,Refunded
380,2024-08-10,18029,6312.33,COD,Refunded
381,2024-10-13,10463,84.76,Card,Success
382,2023-01-13,3551,4942.71,Card,Failed
383,2023-06-19,13164,1053.93,Card,Failed
384,2023-03-30,2163,5693.62,Bank Transfer,Refunded
385,2023-11-25,5134,1496.87,Wallet,Refunded
386,2025-10-27,15931,2874.94,Bank Transfer,Failed
387,2025-11-17,6412,7449.14,Bank Transfer,Refunded
388,2023-11-04,17870,9045.48,Card,Success
389,2023-03-30,19643,7585.42,Card,Success
390,2025-11-23,8832,264.41,Bank Transfer,Failed
391,2023-09-05,14783,644.08,Bank Transfer,Failed
392,2024-07-07,13632,2111.21,Wallet,Success
393,2023-11-03,16849,4160.69,Card,Success
394,2023-08-27,8318,6638.85,Wallet,Failed
395,2025-04-09,18570,7543.16,Wallet,Refunded
396,2025-01-30,3790,5178.78,COD,Success
397,2023-09-28,6903,6366.46,Wallet,Failed
398,2025-08-26,5986,2731.59,COD,Success
399,2025-03-15,11126,2128.28,Card,Refunded
400,2023-11-02,10601,2835.58,Bank Transfer,Success
401,2025-02-10,168,4693.33,COD,Refunded
402,2024-05-02,13101,6743.65,Bank Transfer,Failed
403,2024-06-11,14402,232.96,Bank Transfer,Success
404,2023-03-21,8288,7834.56,Wallet,Refunded
405,2025-07-24,16758,3254.97,Bank Transfer,Success
406,2024-11-06,11167,1004.12,Bank Transfer,Success
407,2023-08-30,15277,4709.62,Bank Transfer,Success
408,2024-04-14,10124,9852.81,Bank Transfer,Refunded
409,2024-08-22,18167,7763.74,Card,Failed
410,2025-01-28,7063,9332.94,Wallet,Success
411,2024-03-21,1055,3960.45,Bank Transfer,Refunded
412,2024-02-29,6754,3532.68,Bank Transfer,Refunded
413,2023-06-28,3387,2136.32,Card,Refunded
414,2024-06-21,10225,2038.82,Wallet,Success
415,2025-07-26,4521,2338.79,COD,Refunded
416,2023-10-27,721,606.53,COD,Failed
417,2024-06-11,4827,255.9,Wallet,Failed
418,2025-06-07,17397,1996.81,COD,Refunded
419,2024-06-27,16225,548.32,Card,Success
420,2023-01-27,9990,1112.67,Card,Success
421,2023-04-17,8133,8773.14,COD,Success
422,2024-08-29,19737,9124.82,Bank Transfer,Failed
423,2023-03-13,1396,5066.43,Bank Transfer,Success
424,2023-05-31,18240,9093.35,Bank Transfer,Success
425,2024-05-26,19772,4474.72,COD,Failed
426,2024-08-06,19885,7982.93,COD,Success
427,2024-08-10,2574,4425.46,Wallet,Success
428,2023-10-08,14343,8577.97,Card,Failed
429,2025-11-15,17962,2001.01,COD,Failed
430,2025-01-10,13713,8691.68,Card,Failed
431,2025-02-26,1974,9902.0,Wallet,Failed
432,2023-01-15,12948,6799.78,Card,Success
433,2023-04-07,9528,8883.48,Card,Success
434,2023-02-03,7831,6245.6,COD,Failed
435,2025-06-12,16636,3588.02,Card,Success
436,2024-07-29,10482,5183.27,Card,Failed
437,2025-05-04,14045,4049.46,COD,Success
438,2025-06-04,18510,1169.82,Bank Transfer,Failed
439,2023-02-20,4981,6366.22,Bank Transfer,Refunded
440,2024-09-23,9291,6146.12,Bank Transfer,Failed
441,2023-01-23,5953,5269.92,Bank Transfer,Success
442,2024-09-23,17168,2101.16,COD,Success
443,2025-04-28,1798,6951.14,Bank Transfer,Success
444,2024-12-22,18386,1747.16,Bank Transfer,Success
445,2025-06-08,7241,2297.58,Wallet,Refunded
446,2025-06-25,10874,5540.21,COD,Failed
447,2024-04-28,19915,9388.35,Bank Transfer,Success
448,2023-03-18,11380,6128.34,Card,Success
449,2025-11-21,6224,5754.76,Bank Transfer,Success
450,2023-01-05,19449,9141.64,Card,Failed
451,2024-01-24,11817,5420.7,Bank Transfer,Failed
452,2024-07-20,742,3283.41,Card,Refunded
453,2024-08-22,10358,5091.31,Bank Transfer,Refunded
454,2025-01-23,11084,3593.82,Wallet,Failed
455,2025-08-15,11364,2124.33,COD,Failed
456,2023-10-06,12515,6897.77,Wallet,Success
457,2023-07-26,9589,9943.96,Wallet,Success
458,2025-01-26,4167,5162.03,Card,Failed
459,2023-03-03,13083,7973.29,Bank Transfer,Refunded
460,2024-04-07,18328,4594.71,Bank Transfer,Success
461,2025-05-10,10963,5009.05,Bank Transfer,Failed
462,2023-06-14,9947,6313.55,Bank Transfer,Success
463,2025-02-05,19912,6009.17,Bank Transfer,Failed
464,2024-03-31,2388,6499.62,Bank Transfer,Refunded
465,2023-09-26,2112,1719.14,Card,Failed
466,2024-10-22,8342,8806.4,Card,Refunded
467,2025-02-28,774,7077.68,Bank Transfer,Success
468,2022-12-31,15251,6176.13,COD,Failed
469,2025-11-28,19737,1985.9,Wallet,Success
470,2025-10-09,14041,1097.92,Wallet,Failed
471,2025-01-29,5936,9860.38,Bank Transfer,Refunded
472,2025-10-14,11627,6632.41,COD,Success
473,2024-02-10,13934,7437.44,Bank Transfer,Failed
474,2025-02-14,8759,4073.39,Bank Transfer,Failed
475,2023-01-26,8076,5946.17,Bank Transfer,Failed
476,2025-10-07,2884,2571.97,Card,Success
477,2023-03-25,18387,3462.64,Bank Transfer,Refunded
478,2023-07-27,13480,8959.74,Wallet,Refunded
479,2024-08-21,6609,4086.71,Bank Transfer,Refunded
480,2023-03-05,3389,1657.65,Bank Transfer,Refunded
481,2024-07-01,13321,377.0,Bank Transfer,Success
482,2025-06-01,2221,7220.72,Bank Transfer,Refunded
483,2023-12-13,5002,5120.14,COD,Refunded
484,2023-11-24,13268,9644.57,Wallet,Success
485,2024-09-15,17986,8995.06,Wallet,Failed
486,2025-10-07,5686,2420.77,COD,Success
487,2024-03-19,507,7108.21,Wallet,Failed
488,2025-03-15,14024,5156.11,COD,Refunded
489,2024-04-14,16378,624.64,Bank Transfer,Success
490,2025-01-24,5036,5322.01,COD,Failed
491,2025-02-21,9330,7752.03,Bank Transfer,Failed
492,2025-10-07,15897,8460.25,Card,Refunded
493,2025-11-14,12015,2695.75,COD,Failed
494,2024-12-01,14389,6251.52,COD,Success
495,2025-05-07,1575,9586.49,COD,Refunded
496,2025-05-21,501,4421.25,Wallet,Refunded
497,2025-07-23,15189,8584.73,Bank Transfer,Failed
498,2024-03-05,7719,2010.31,Bank Transfer,Failed
499,2025-09-06,8247,8513.82,Bank Transfer,Failed
500,2025-10-30,16464,4959.75,Bank Transfer,Success
501,2025-11-16,4014,304.39,Card,Refunded
502,2023-07-10,6699,9950.64,Wallet,Failed
503,2023-08-22,9536,9577.05,Bank Transfer,Failed
504,2025-11-14,18720,2402.77,Wallet,Failed
505,2024-06-04,2067,2620.35,COD,Failed
506,2025-04-10,16630,2208.64,Wallet,Success
507,2025-10-24,13602,6823.73,Card,Refunded
508,2023-09-08,3912,6893.08,Bank Transfer,Failed
509,2024-04-08,61,7070.37,COD,Failed
510,2024-03-20,4631,7313.48,Bank Transfer,Failed
511,2024-10-28,8893,1284.95,Card,Success
512,2023-05-30,14837,3538.61,Bank Transfer,Refunded
513,2023-05-15,7891,7500.32,COD,Failed
514,2023-07-25,553,3130.61,Card,Refunded
515,2023-09-16,11370,7265.05,COD,Failed
516,2023-04-10,7801,8755.99,Card,Failed
517,2024-03-29,3452,1917.66,COD,Failed
518,2025-09-29,16839,7167.9,COD,Refunded
519,2024-06-06,7143,6612.86,COD,Success
520,2023-08-12,2385,2100.61,Card,Refunded
521,2025-06-22,8187,4298.53,Wallet,Failed
522,2023-10-14,14093,362.35,COD,Success
523,2025-11-09,11596,6968.48,Bank Transfer,Success
524,2023-09-12,19266,1067.05,Bank Transfer,Success
525,2025-01-10,291,8876.89,Wallet,Success
526,2023-12-18,11805,9757.71,Card,Success
527,2025-10-06,427,2061.32,Card,Success
528,2024-08-27,16581,7440.78,Card,Success
529,2023-04-04,3782,3798.6,Bank Transfer,Refunded
530,2023-02-09,12016,4739.76,Card,Failed
531,2024-05-05,1859,3766.87,Bank Transfer,Refunded
532,2024-05-08,16506,6848.81,Wallet,Failed
533,2024-06-27,12444,2305.07,Bank Transfer,Failed
534,2025-06-06,9834,7455.41,COD,Refunded
535,2025-05-08,6643,8583.15,Wallet,Success
536,2023-07-25,14438,2349.42,Bank Transfer,Success
537,2025-07-10,13688,9426.48,COD,Refunded
538,2024-10-20,16538,8969.4,Bank Transfer,Success
539,2023-02-26,4511,1052.58,Bank Transfer,Failed
540,2025-01-04,10842,7603.69,Card,Success
541,2023-10-04,13499,1278.81,Wallet,Failed
542,2024-08-02,9271,3765.68,COD,Success
543,2023-12-19,15950,8726.99,Bank Transfer,Refunded
544,2024-02-16,18759,4558.32,Bank Transfer,Success
545,2023-07-23,10134,107.44,Bank Transfer,Success
