shipment_id,shipped_date,order_id,delivered_date,delivery_days,shipment_status
57,2024-11-26,560,2024-11-27,1,Cancelled
58,2023-03-26,19988,2023-04-03,8,Delivered
59,2023-01-15,14835,2023-01-19,4,Cancelled
60,2023-05-05,2081,2023-05-13,8,In Transit
61,2023-08-27,11737,2023-09-04,8,Cancelled
62,2023-06-21,19743,2023-06-26,5,Cancelled
63,2025-11-17,17253,2025-11-23,6,Cancelled
64,2023-04-27,13673,2023-04-28,1,In Transit
65,2023-09-25,5013,2023-10-01,6,Delivered
66,2023-11-30,14517,2023-12-02,2,Cancelled
67,2023-01-23,17868,2023-01-29,6,In Transit
68,2024-06-12,17058,2024-06-18,6,Delivered
69,2025-11-27,9372,2025-12-04,7,In Transit
70,2023-12-02,16606,2023-12-07,5,Delivered
71,2025-03-04,6875,2025-03-08,4,Delivered
72,2024-10-14,3937,2024-10-23,9,Delivered
73,2025-11-19,3101,2025-11-25,6,Delivered
74,2025-01-30,17072,2025-02-02,3,In Transit
75,2024-09-03,6035,2024-09-04,1,Cancelled
76,2025-01-28,8685,2025-01-31,3,Cancelled
77,2022-12-31,18186,2023-01-02,2,In Transit
78,2025-08-30,17529,2025-09-06,7,Cancelled
79,2023-05-30,16831,2023-06-03,4,In Transit
80,2024-06-10,4093,2024-06-14,4,Delivered
81,2023-04-28,19582,2023-05-04,6,Cancelled
82,2024-01-12,3688,2024-01-13,1,In Transit
83,2023-09-29,4711,2023-09-30,1,Delivered
84,2025-07-03,10373,2025-07-09,6,Delivered
85,2024-02-18,4753,2024-02-22,4,Delivered
86,2024-03-24,1277,2024-03-31,7,Cancelled
87,2025-03-18,5515,2025-03-26,8,In Transit
88,2023-01-23,15739,2023-01-30,7,Delivered
89,2023-03-28,3774,2023-03-30,2,Delivered
90,2025-03-13,19455,2025-03-17,4,Cancelled
91,2023-01-10,6923,2023-01-18,8,Delivered
92,2024-09-12,606,2024-09-14,2,Cancelled
93,2024-07-31,4001,2024-08-06,6,Cancelled
94,2024-12-29,16871,2024-12-30,1,Cancelled
95,2023-12-28,9015,2024-01-03,6,Cancelled
96,2023-08-02,14228,2023-08-06,4,In Transit
97,2023-10-17,16984,2023-10-22,5,Delivered
98,2024-08-08,7418,2024-08-13,5,In Transit
99,2025-10-05,14906,2025-10-12,7,In Transit
100,2024-09-12,16843,2024-09-13,1,Delivered
101,2024-02-13,5441,2024-02-18,5,Delivered
102,2025-11-15,10841,2025-11-22,7,In Transit
103,2024-12-21,4626,2024-12-25,4,Cancelled
104,2023-03-31,17550,2023-04-03,3,Cancelled
105,2023-08-06,9178,2023-08-08,2,Cancelled
106,2023-05-17,3701,2023-05-23,6,Delivered
107,2023-11-12,122,2023-11-20,8,In Transit
108,2025-03-03,7409,2025-03-09,6,Cancelled
109,2024-09-10,17606,2024-09-18,8,Cancelled
110,2025-08-11,8007,2025-08-19,8,In Transit
111,2024-06-06,17975,2024-06-11,5,In Transit
112,2024-09-11,19551,2024-09-18,7,Cancelled
113,2025-05-23,2717,2025-05-29,6,Delivered
114,2025-03-12,19066,2025-03-15,3,Delivered
115,2024-07-04,7753,2024-07-05,1,Delivered
116,2025-09-29,9075,2025-10-06,7,In Transit
117,2025-01-16,4113,2025-01-17,1,Cancelled
118,2023-01-14,6308,2023-01-15,1,In Transit
119,2023-02-08,2643,2023-02-09,1,In Transit
120,2023-06-30,19504,2023-07-07,7,Delivered
121,2023-02-12,10891,2023-02-18,6,Cancelled
122,2023-04-25,7724,2023-05-03,8,Delivered
123,2024-01-31,6399,2024-02-02,2,Delivered
124,2023-05-06,16710,2023-05-10,4,In Transit
125,2023-01-26,18399,2023-02-01,6,Cancelled
126,2023-11-26,503,2023-12-03,7,Cancelled
127,2023-07-23,9629,2023-08-01,9,Cancelled
128,2024-12-02,15651,2024-12-03,1,In Transit
129,2025-03-29,4933,2025-04-06,8,Delivered
130,2024-10-10,4569,2024-10-12,2,In Transit
131,2024-08-04,6180,2024-08-06,2,Cancelled
132,2023-02-20,4039,2023-02-24,4,In Transit
133,2024-10-21,8920,2024-10-27,6,Delivered
134,2023-05-11,18928,2023-05-17,6,Delivered
135,2023-08-17,12354,2023-08-21,4,In Transit
136,2024-11-21,14356,2024-11-28,7,In Transit
137,2024-10-18,13145,2024-10-23,5,Cancelled
138,2023-02-12,15338,2023-02-21,9,Cancelled
139,2024-09-02,14797,2024-09-06,4,Delivered
140,2024-01-26,5058,2024-02-04,9,Delivered
141,2024-01-31,14380,2024-02-05,5,Delivered
142,2024-03-02,1696,2024-03-05,3,In Transit
143,2025-07-15,7802,2025-07-18,3,Cancelled
144,2025-04-17,7385,2025-04-20,3,Delivered
145,2025-05-10,16795,2025-05-19,9,Delivered
146,2024-11-09,1489,2024-11-10,1,In Transit
147,2024-05-02,1880,2024-05-05,3,Cancelled
148,2023-04-03,1375,2023-04-10,7,In Transit
149,2024-09-23,6563,2024-09-26,3,Delivered
150,2023-10-04,13961,2023-10-07,3,Cancelled
151,2023-01-26,14424,2023-02-02,7,Cancelled
152,2023-06-05,10802,2023-06-12,7,Delivered
153,2025-10-18,8451,2025-10-27,9,Delivered
154,2025-01-29,5659,2025-01-31,2,Delivered
155,2025-01-03,8380,2025-01-10,7,Delivered
156,2023-11-27,4865,2023-12-05,8,Delivered
157,2024-11-12,15958,2024-11-18,6,Delivered
158,2025-06-17,775,2025-06-26,9,Delivered
159,2023-09-07,12826,2023-09-15,8,In Transit
160,2025-03-25,6580,2025-04-02,8,Cancelled
161,2024-11-09,11033,2024-11-18,9,Delivered
162,2025-09-10,9790,2025-09-13,3,In Transit
163,2024-02-01,2489,2024-02-10,9,Delivered
164,2024-07-29,3887,2024-07-31,2,Cancelled
165,2025-06-03,1370,2025-06-04,1,Cancelled
166,2024-02-08,15086,2024-02-16,8,Cancelled
167,2023-11-20,6046,2023-11-21,1,In Transit
168,2024-02-14,15786,2024-02-21,7,In Transit
169,2024-09-07,6537,2024-09-09,2,Delivered
170,2025-07-22,6291,2025-07-30,8,Delivered
171,2023-05-13,10774,2023-05-14,1,In Transit
172,2024-06-21,256,2024-06-28,7,Cancelled
173,2023-04-17,17422,2023-04-24,7,In Transit
174,2022-12-18,3123,2022-12-25,7,Delivered
175,2023-09-16,19799,2023-09-21,5,In Transit
176,2025-02-11,10817,2025-02-19,8,Delivered
177,2024-11-15,13269,2024-11-20,5,Delivered
178,2023-07-01,1309,2023-07-08,7,Cancelled
179,2025-07-29,1513,2025-08-06,8,In Transit
180,2023-08-15,12634,2023-08-18,3,In Transit
181,2025-06-06,13413,2025-06-13,7,Cancelled
182,2025-10-14,7471,2025-10-16,2,Cancelled
183,2023-08-12,14388,2023-08-16,4,In Transit
184,2025-08-25,8316,2025-08-26,1,In Transit
185,2023-01-05,13941,2023-01-07,2,Cancelled
186,2025-06-14,1894,2025-06-23,9,In Transit
187,2024-01-08,4828,2024-01-10,2,Delivered
188,2023-01-23,14498,2023-01-24,1,In Transit
189,2025-11-26,13520,2025-11-28,2,Delivered
190,2023-10-08,9411,2023-10-10,2,Delivered
191,2024-05-11,12853,2024-05-20,9,Delivered
192,2024-05-29,3382,2024-06-07,9,In Transit
193,2024-03-22,4104,2024-03-28,6,In Transit
194,2024-12-25,17530,2025-01-03,9,In Transit
195,2025-02-07,17965,2025-02-11,4,Delivered
196,2025-09-22,4632,2025-09-27,5,Delivered
197,2025-07-29,7736,2025-08-02,4,In Transit
198,2023-06-09,12344,2023-06-12,3,Delivered
199,2023-12-29,5866,2023-12-30,1,In Transit
200,2024-09-01,6270,2024-09-04,3,In Transit
201,2025-03-20,3363,2025-03-24,4,Cancelled
202,2025-11-12,12728,2025-11-15,3,Delivered
203,2023-11-24,14012,2023-11-26,2,Delivered
204,2025-09-27,16468,2025-10-05,8,In Transit
205,2025-08-22,16175,2025-08-24,2,Cancelled
206,2025-05-16,18799,2025-05-22,6,In Transit
207,2024-06-15,13283,2024-06-18,3,In Transit
208,2025-11-21,3603,2025-11-23,2,Cancelled
209,2024-06-10,6499,2024-06-15,5,Cancelled
210,2025-08-27,10080,2025-09-05,9,In Transit
211,2023-01-24,17386,2023-02-02,9,In Transit
212,2025-07-30,6313,2025-08-04,5,Cancelled
213,2024-03-21,12701,2024-03-30,9,Cancelled
214,2024-02-01,19743,2024-02-07,6,Delivered
215,2025-09-14,12583,2025-09-15,1,In Transit
216,2024-12-11,7010,2024-12-16,5,Cancelled
217,2025-01-09,9219,2025-01-17,8,In Transit
218,2023-03-28,10150,2023-04-01,4,Cancelled
219,2023-12-17,4178,2023-12-23,6,Cancelled
220,2024-11-19,2042,2024-11-21,2,Delivered
221,2024-08-21,11817,2024-08-27,6,In Transit
222,2024-05-12,18790,2024-05-16,4,Cancelled
223,2023-11-19,13412,2023-11-21,2,Delivered
224,2023-12-07,2036,2023-12-08,1,Cancelled
225,2025-02-02,16553,2025-02-08,6,Cancelled
226,2025-08-07,741,2025-08-15,8,Cancelled
227,2024-11-25,9862,2024-11-28,3,In Transit
228,2023-02-22,16896,2023-02-25,3,Cancelled
229,2024-11-04,18772,2024-11-11,7,Cancelled
230,2023-01-09,12641,2023-01-14,5,Delivered
231,2025-08-01,13450,2025-08-10,9,Delivered
232,2023-08-24,630,2023-09-02,9,In Transit
233,2024-09-07,6601,2024-09-15,8,In Transit
234,2025-10-18,18021,2025-10-21,3,Cancelled
235,2024-10-05,18239,2024-10-06,1,Cancelled
236,2024-12-29,8506,2024-12-31,2,Delivered
237,2024-09-17,17277,2024-09-20,3,Delivered
238,2024-08-07,10654,2024-08-14,7,Cancelled
239,2024-08-18,17778,2024-08-25,7,Cancelled
240,2025-04-23,10753,2025-04-26,3,In Transit
241,2024-09-06,3166,2024-09-08,2,In Transit
242,2024-07-18,16828,2024-07-27,9,Cancelled
243,2024-12-07,16238,2024-12-11,4,In Transit
244,2023-02-02,6237,2023-02-07,5,Delivered
245,2024-07-08,13224,2024-07-16,8,Delivered
246,2024-04-04,5161,2024-04-08,4,Delivered
247,2025-05-05,8355,2025-05-10,5,In Transit
248,2025-08-01,17213,2025-08-09,8,Delivered
249,2025-09-02,16970,2025-09-06,4,In Transit
250,2024-08-12,11688,2024-08-16,4,Cancelled
251,2024-12-14,2895,2024-12-19,5,Delivered
252,2023-08-07,462,2023-08-11,4,Cancelled
253,2023-03-17,8628,2023-03-21,4,In Transit
254,2024-11-13,18749,2024-11-18,5,Cancelled
255,2025-05-26,13731,2025-05-29,3,In Transit
256,2025-01-13,5589,2025-01-21,8,Cancelled
257,2023-12-02,12599,2023-12-11,9,Cancelled
258,2025-11-07,3069,2025-11-11,4,In Transit
259,2025-04-26,6444,2025-05-04,8,Delivered
260,2025-09-16,3089,2025-09-17,1,In Transit
261,2023-02-10,9200,2023-02-15,5,Delivered
262,2024-07-06,8389,2024-07-14,8,In Transit
263,2025-01-27,9295,2025-01-29,2,In Transit
264,2025-09-15,15635,2025-09-21,6,Cancelled
265,2023-02-21,528,2023-03-02,9,In Transit
266,2023-10-03,5769,2023-10-05,2,Delivered
267,2023-11-21,2217,2023-11-29,8,Delivered
268,2025-11-01,437,2025-11-08,7,Cancelled
269,2024-06-01,945,2024-06-08,7,In Transit
270,2023-11-13,5442,2023-11-16,3,In Transit
271,2023-02-10,15177,2023-02-11,1,Cancelled
272,2023-11-24,9460,2023-12-02,8,Delivered
273,2023-05-30,12522,2023-05-31,1,In Transit
274,2024-06-07,18257,2024-06-12,5,In Transit
275,2025-01-13,4655,2025-01-18,5,In Transit
276,2024-12-22,14140,2024-12-23,1,Cancelled
277,2023-10-10,7579,2023-10-15,5,Delivered
278,2024-07-08,15335,2024-07-09,1,Delivered
279,2023-06-07,6629,2023-06-16,9,Cancelled
280,2025-05-25,10373,2025-05-27,2,Delivered
281,2023-08-26,8238,2023-08-31,5,Delivered
282,2023-12-12,13644,2023-12-18,6,In Transit
283,2025-01-12,10687,2025-01-19,7,Delivered
284,2024-10-26,19019,2024-11-02,7,Cancelled
285,2024-07-18,15241,2024-07-20,2,Delivered
286,2025-10-04,1623,2025-10-08,4,Delivered
287,2023-03-18,13641,2023-03-20,2,Cancelled
288,2025-10-22,18273,2025-10-25,3,In Transit
289,2023-03-28,3699,2023-03-31,3,Cancelled
290,2025-10-13,17852,2025-10-18,5,Delivered
291,2022-12-09,379,2022-12-11,2,Cancelled
292,2025-10-07,1725,2025-10-12,5,Delivered
293,2022-12-08,18449,2022-12-10,2,Delivered
294,2024-05-01,17649,2024-05-06,5,Delivered
295,2023-08-17,9937,2023-08-25,8,Cancelled
296,2022-12-20,8303,2022-12-25,5,Cancelled
297,2023-11-05,9065,2023-11-08,3,Cancelled
298,2022-12-24,13337,2023-01-01,8,Cancelled
299,2025-10-29,11129,2025-11-02,4,Cancelled
300,2024-05-12,3315,2024-05-19,7,In Transit
301,2024-11-14,98,2024-11-23,9,Cancelled
302,2025-06-17,6133,2025-06-19,2,Cancelled
303,2024-06-07,17831,2024-06-13,6,In Transit
304,2024-12-07,6974,2024-12-11,4,Cancelled
305,2025-07-22,19313,2025-07-27,5,In Transit
306,2023-08-25,13049,2023-08-29,4,Delivered
307,2024-03-07,9383,2024-03-15,8,In Transit
308,2023-02-21,1416,2023-02-26,5,Delivered
309,2025-05-18,11312,2025-05-19,1,Cancelled
310,2025-07-15,2760,2025-07-21,6,In Transit
311,2023-05-18,2552,2023-05-25,7,Cancelled
312,2023-07-24,6485,2023-07-30,6,Delivered
313,2025-08-12,16774,2025-08-13,1,In Transit
314,2023-03-03,338,2023-03-10,7,Cancelled
315,2024-01-15,514,2024-01-18,3,Cancelled
316,2024-02-18,4369,2024-02-27,9,In Transit
317,2024-06-26,10995,2024-07-01,5,Delivered
318,2023-11-24,5522,2023-11-27,3,In Transit
319,2024-07-24,8665,2024-07-26,2,Cancelled
320,2024-01-24,2985,2024-01-31,7,Delivered
321,2023-05-26,4373,2023-05-29,3,Delivered
322,2024-07-11,14732,2024-07-16,5,Delivered
323,2024-07-02,13915,2024-07-06,4,Cancelled
324,2023-10-15,5528,2023-10-16,1,Delivered
325,2023-09-02,10360,2023-09-05,3,Cancelled
326,2025-11-15,16398,2025-11-16,1,Delivered
327,2023-04-07,15816,2023-04-12,5,Cancelled
328,2023-08-16,2081,2023-08-17,1,Delivered
329,2025-08-06,6200,2025-08-12,6,In Transit
330,2024-10-11,13750,2024-10-15,4,Cancelled
331,2025-10-12,9822,2025-10-15,3,In Transit
332,2025-11-05,11544,2025-11-14,9,In Transit
333,2024-03-28,8334,2024-04-06,9,Delivered
334,2023-05-13,19607,2023-05-22,9,In Transit
335,2023-07-19,16319,2023-07-22,3,In Transit
336,2024-03-13,19307,2024-03-18,5,In Transit
337,2024-05-01,6374,2024-05-02,1,Delivered
338,2023-07-23,2557,2023-07-26,3,In Transit
339,2025-07-14,13643,2025-07-19,5,Cancelled
340,2023-12-16,14727,2023-12-19,3,In Transit
341,2023-01-04,10537,2023-01-07,3,Cancelled
342,2024-12-08,19136,2024-12-11,3,Delivered
343,2024-06-28,226,2024-07-06,8,Cancelled
344,2025-01-29,14411,2025-01-31,2,Delivered
345,2024-07-13,17017,2024-07-14,1,In Transit
346,2023-03-23,14124,2023-03-30,7,Cancelled
347,2025-10-20,3475,2025-10-29,9,Cancelled
348,2024-04-22,9391,2024-04-28,6,Cancelled
349,2022-12-16,1871,2022-12-21,5,In Transit
350,2023-04-26,12897,2023-05-03,7,Cancelled
351,2025-05-30,18873,2025-06-07,8,In Transit
352,2024-12-04,17560,2024-12-13,9,Delivered
353,2024-03-21,14484,2024-03-23,2,Cancelled
354,2023-01-27,13979,2023-02-04,8,Cancelled
355,2025-11-30,5326,2025-12-07,7,Cancelled
356,2023-06-15,1373,2023-06-18,3,Cancelled
357,2025-07-30,17627,2025-08-01,2,In Transit
358,2025-01-11,11063,2025-01-17,6,Delivered
359,2024-06-12,15898,2024-06-14,2,Cancelled
360,2023-12-21,3202,2023-12-26,5,Delivered
361,2025-10-08,5113,2025-10-09,1,In Transit
362,2024-10-22,9017,2024-10-27,5,Delivered
363,2024-01-08,2761,2024-01-15,7,Delivered
364,2024-09-09,9261,2024-09-10,1,Cancelled
365,2023-08-28,2749,2023-09-03,6,In Transit
366,2023-06-24,9006,2023-06-29,5,Delivered
367,2023-04-16,16952,2023-04-25,9,Cancelled
368,2022-12-18,6748,2022-12-21,3,In Transit
369,2023-06-20,8836,2023-06-21,1,Delivered
370,2025-10-24,5983,2025-11-01,8,Cancelled
371,2023-06-25,6086,2023-07-03,8,Cancelled
372,2023-07-14,4428,2023-07-23,9,Cancelled
373,2023-02-12,2827,2023-02-20,8,Delivered
374,2025-03-31,10465,2025-04-02,2,Cancelled
375,2025-07-15,13902,2025-07-18,3,In Transit
376,2024-03-31,5385,2024-04-02,2,Cancelled
377,2024-07-03,10963,2024-07-11,8,In Transit
378,2024-10-10,4870,2024-10-11,1,Delivered
379,2023-03-04,17536,2023-03-12,8,Cancelled
380,2024-07-28,19288,2024-08-04,7,Delivered
381,2023-04-09,5309,2023-04-18,9,Delivered
382,2023-04-24,19899,2023-04-29,5,Delivered
383,2025-02-16,8465,2025-02-22,6,Cancelled
384,2023-08-14,1735,2023-08-22,8,Delivered
385,2024-06-27,4029,2024-07-01,4,In Transit
386,2023-02-17,3462,2023-02-25,8,Delivered
387,2023-10-23,2896,2023-10-30,7,Delivered
388,2024-10-03,3744,2024-10-09,6,Delivered
389,2023-08-18,3121,2023-08-27,9,Delivered
390,2025-10-25,14443,2025-11-02,8,In Transit
391,2025-05-03,1142,2025-05-10,7,In Transit
392,2023-08-01,19415,2023-08-06,5,In Transit
393,2024-01-25,16077,2024-01-28,3,In Transit
394,2023-12-08,4695,2023-12-12,4,In Transit
395,2023-01-19,2153,2023-01-26,7,Delivered
396,2023-06-20,14109,2023-06-24,4,In Transit
397,2023-03-16,5476,2023-03-18,2,In Transit
398,2023-03-15,19602,2023-03-16,1,Cancelled
399,2023-05-02,16191,2023-05-04,2,In Transit
400,2025-05-18,16173,2025-05-19,1,Cancelled
401,2025-05-10,17727,2025-05-15,5,Delivered
402,2024-07-25,4285,2024-07-28,3,Delivered
403,2023-07-18,5314,2023-07-23,5,Delivered
404,2023-12-24,19331,2023-12-31,7,In Transit
405,2024-01-04,10142,2024-01-06,2,Cancelled
406,2025-08-22,14421,2025-08-23,1,In Transit
407,2025-09-11,11766,2025-09-12,1,Delivered
408,2024-01-09,8132,2024-01-17,8,In Transit
409,2023-11-29,12190,2023-12-04,5,Delivered
410,2023-04-15,13682,2023-04-17,2,Cancelled
411,2025-03-18,19872,2025-03-25,7,In Transit
412,2023-08-04,8196,2023-08-09,5,Delivered
413,2024-10-07,3304,2024-10-11,4,Delivered
414,2024-04-05,12975,2024-04-09,4,In Transit
415,2022-12-24,12003,2023-01-02,9,Delivered
416,2024-11-28,3963,2024-11-29,1,Delivered
417,2023-09-18,1622,2023-09-23,5,In Transit
418,2023-05-21,6024,2023-05-22,1,Cancelled
419,2023-07-05,9040,2023-07-12,7,Delivered
420,2025-05-30,3931,2025-05-31,1,Delivered
421,2024-12-17,11916,2024-12-25,8,Cancelled
422,2025-01-28,11009,2025-02-06,9,In Transit
423,2022-12-17,1589,2022-12-24,7,Delivered
424,2025-01-04,17643,2025-01-09,5,In Transit
425,2025-09-23,16607,2025-09-29,6,Delivered
426,2023-04-07,13405,2023-04-16,9,In Transit
427,2023-06-29,10675,2023-07-03,4,Cancelled
428,2023-03-30,13065,2023-04-06,7,In Transit
429,2024-10-12,16776,2024-10-18,6,Cancelled
430,2023-12-11,17478,2023-12-18,7,In Transit
431,2024-12-20,17400,2024-12-22,2,In Transit
432,2025-10-12,784,2025-10-19,7,Delivered
433,2025-01-09,13029,2025-01-12,3,In Transit
434,2024-01-16,14395,2024-01-24,8,Delivered
435,2023-07-02,8175,2023-07-09,7,In Transit
436,2024-12-25,3744,2024-12-30,5,Cancelled
437,2025-05-22,10861,2025-05-29,7,Delivered
438,2025-03-19,9770,2025-03-22,3,In Transit
439,2025-06-06,19326,2025-06-14,8,In Transit
440,2024-01-25,1142,2024-01-29,4,Cancelled
441,2024-05-04,16896,2024-05-07,3,Delivered
442,2025-08-10,19086,2025-08-16,6,Cancelled
443,2025-09-27,4839,2025-10-01,4,Delivered
444,2023-04-17,4039,2023-04-24,7,Delivered
445,2023-07-26,15621,2023-07-31,5,Cancelled
446,2023-07-15,4743,2023-07-22,7,In Transit
447,2025-03-09,4303,2025-03-10,1,Cancelled
448,2025-04-01,19978,2025-04-10,9,Cancelled
449,2025-04-06,11453,2025-04-07,1,Delivered
450,2023-12-22,19123,2023-12-23,1,Cancelled
451,2023-01-16,3122,2023-01-23,7,In Transit
452,2024-04-21,10982,2024-04-28,7,In Transit
453,2023-08-31,15389,2023-09-09,9,In Transit
454,2023-09-26,5568,2023-09-28,2,Delivered
455,2023-02-20,6420,2023-02-26,6,Cancelled
456,2025-10-15,14915,2025-10-24,9,In Transit
457,2024-04-01,11391,2024-04-02,1,Delivered
458,2024-07-28,14033,2024-07-29,1,Delivered
459,2025-04-13,5327,2025-04-17,4,Cancelled
460,2024-11-01,13064,2024-11-04,3,Delivered
461,2024-03-25,5716,2024-04-02,8,Delivered
462,2024-04-01,15388,2024-04-08,7,Cancelled
463,2024-10-10,13483,2024-10-11,1,In Transit
464,2023-11-07,16159,2023-11-16,9,Delivered
465,2025-09-23,8204,2025-10-02,9,In Transit
466,2025-03-20,11601,2025-03-26,6,Delivered
467,2023-09-05,8563,2023-09-12,7,In Transit
468,2024-03-10,2489,2024-03-18,8,Cancelled
469,2024-02-25,18647,2024-03-03,7,In Transit
470,2025-11-23,14020,2025-11-28,5,Delivered
471,2024-06-26,16938,2024-07-03,7,Cancelled
472,2023-05-14,715,2023-05-17,3,Cancelled
473,2024-04-20,2342,2024-04-27,7,Delivered
474,2023-01-14,19545,2023-01-21,7,Delivered
475,2025-01-06,17356,2025-01-13,7,Cancelled
476,2025-06-24,19776,2025-06-27,3,Cancelled
477,2023-09-03,17591,2023-09-05,2,Delivered
478,2023-12-02,7499,2023-12-05,3,In Transit
479,2024-02-26,10461,2024-03-01,4,Delivered
480,2025-07-01,15064,2025-07-08,7,In Transit
481,2024-10-19,1756,2024-10-24,5,Cancelled
482,2025-11-15,9262,2025-11-19,4,In Transit
483,2025-03-30,14754,2025-04-03,4,Cancelled
484,2025-07-07,19077,2025-07-12,5,Cancelled
485,2024-04-16,6403,2024-04-17,1,In Transit
486,2025-09-15,1619,2025-09-19,4,Cancelled
487,2023-12-09,10660,2023-12-16,7,Delivered
488,2023-08-20,3742,2023-08-24,4,Delivered
489,2023-01-18,9445,2023-01-19,1,Cancelled
490,2025-11-06,3699,2025-11-08,2,In Transit
491,2024-01-17,10897,2024-01-22,5,Delivered
492,2025-11-16,2405,2025-11-25,9,In Transit
493,2023-04-29,5461,2023-05-05,6,In Transit
494,2025-02-21,13575,2025-02-24,3,In Transit
495,2022-12-08,6146,2022-12-13,5,In Transit
496,2025-04-19,4085,2025-04-27,8,Delivered
497,2023-12-18,5996,2023-12-24,6,Cancelled
498,2024-06-04,13173,2024-06-08,4,Cancelled
499,2024-07-05,2885,2024-07-08,3,In Transit
500,2023-03-23,18179,2023-03-27,4,Cancelled
501,2023-12-24,13678,2023-12-28,4,Cancelled
502,2023-02-06,11448,2023-02-14,8,Cancelled
503,2024-11-20,18611,2024-11-29,9,Cancelled
504,2025-07-25,2197,2025-08-01,7,Delivered
505,2023-04-14,16524,2023-04-16,2,Cancelled
506,2023-04-02,1672,2023-04-04,2,Delivered
507,2023-05-07,18395,2023-05-13,6,Delivered
508,2023-10-29,4397,2023-11-07,9,In Transit
509,2024-02-12,4165,2024-02-15,3,In Transit
510,2025-07-18,893,2025-07-19,1,Cancelled
511,2024-03-29,17628,2024-03-31,2,Delivered
512,2024-02-28,5190,2024-03-07,8,Delivered
513,2024-08-13,14414,2024-08-15,2,Delivered
514,2023-06-17,3784,2023-06-24,7,In Transit
515,2023-01-06,12549,2023-01-15,9,In Transit
516,2023-07-29,4183,2023-08-07,9,In Transit
517,2023-12-31,12319,2024-01-02,2,Delivered
518,2025-03-20,12530,2025-03-29,9,Delivered
519,2023-03-02,18678,2023-03-06,4,Cancelled
520,2025-07-05,7102,2025-07-14,9,Delivered
521,2024-06-12,9350,2024-06-20,8,Delivered
522,2023-12-16,17342,2023-12-18,2,Delivered
523,2023-02-09,7365,2023-02-11,2,In Transit
524,2023-04-13,4305,2023-04-15,2,Cancelled
525,2025-02-25,3578,2025-03-03,6,Delivered
526,2023-05-17,6987,2023-05-24,7,Cancelled
527,2023-05-05,2490,2023-05-13,8,Delivered
528,2022-12-10,4602,2022-12-16,6,In Transit
529,2024-03-27,6533,2024-03-29,2,Delivered
530,2025-06-25,13849,2025-07-01,6,Cancelled
